Stand,Transect,Tree,TransectPart,Xcoord,Ycoord,Projection,Datum,elev_ft,YearEstablished,Elev,Slope,Aspect,GrizPCA,Admin,Num.Trees,LongitudeX,LatitudeY
8016,8016.1,8016.1.95,center,504135,4861427,UTM Zone 12,NAD83,8150,2004,2484,8,242,1,Caribou-Targhee,12,-110.948506,43.90593839
8026,8026.1,8026.1.34,center,579340,4861150,UTM Zone 12,NAD83,8901,2006,2713,21,171,1,Bridger-Teton,47,-110.012077,43.89918544
8034,8034.1,8034.1.30,center,566387,4799194,UTM Zone 12,NAD83,9059,2005,2761,20,193,0,Bridger-Teton,2,-110.1809546,43.34266503
8122,8122.1,8122.1.21,center,565150,4858998,UTM Zone 12,NAD83,9213,2006,2814,24,207,1,Bridger-Teton,22,-110.1890111,43.88120234
8124,8124.4,8124.4.42,center,592302,4791230,UTM Zone 12,NAD83,10014,2005,3052,24,142,0,Bridger-Teton,17,-109.8626208,43.26823033
8351,8351.1,8351.1.44,center,519139,4852524,UTM Zone 12,NAD83,9210,2006,2807,30,154,0,Grand Teton,26,-110.7619784,43.825542
8386,8386.1,8386.1.75,center,566481,4851467,UTM Zone 12,NAD83,8846,2006,2653,13,196,1,Bridger-Teton,12,-110.1733813,43.81328339
8386,8386.2,8386.2.282,center,566360,4851366,UTM Zone 12,NAD83,8704,2006,2696,28,200,1,Bridger-Teton,38,-110.1748982,43.81238497
8392,8392.2,8392.2.50,center,605519,4761238,UTM Zone 12,NAD83,9718,2005,2977,2,159,0,Bridger-Teton,10,-109.7055026,42.99649015
8392,8392.3,8392.3.48,center,605279,4761293,UTM Zone 12,NAD83,9768,2005,2962,3,229,0,Bridger-Teton,3,-109.7084358,42.99701857
8603,8603.1,8603.1.1,center,549454,4843079,UTM Zone 12,NAD83,9056,2006,2760,31,322,1,Bridger-Teton,31,-110.3858528,43.7390985
8617,8617.1,8617.1.52,center,572825,4840183,UTM Zone 12,NAD83,9197,2004,2803,18,252,1,Bridger-Teton,32,-110.0960409,43.71109851
8762,8762.1,8762.1.18,center,551622,4840469,UTM Zone 12,NAD83,9246,2004,2818,16,108,1,Bridger-Teton,12,-110.3591816,43.71545186
8801,8801.3,8801.3.29,center,556885,4839636,UTM Zone 12,NAD83,8196,2004,2498,17,287,1,Bridger-Teton,4,-110.2939412,43.70756719
